major_id,sequence_number,name,description,is_active,notes,effective_term_id,end_term_id,required_course_id
5,1,ECON-101: Introduction to Economics,,true,,10,,26
5,2,ARIL-210 - Academic Research: Information Literacy,,true,,177,,16
5,3,COMP-210 - Introduction to Computers,,true,,177,,285
5,4,EDUC-300 - Foundations of Education,,true,,177,,37
5,5,EDUC-301 - Introduction to Educational Philosophy,,true,,177,,38
5,6,EDUC-400 - Introduction to TESOL,,true,,177,,39
5,7,EDUC-401 - Introduction to Language Acquisition,,true,,177,,40
5,8,EDUC-403 - Methodology in TESOL II/Methodology in Teaching English II,,true,,177,,41
5,9,EDUC-404 - Introduction to Assessment and Evaluation,,true,,177,,42
5,10,EDUC-405 - Introduction to Curriculum & Material Design,,true,,177,,43
5,11,EDUC-407 - Seminar in TESOL,,true,,177,,44
5,12,EDUC-408 - Practicum in TESOL/Senior Project,,true,,177,,45
5,13,ENGL-110 - College English I: Reading & Composition,,true,,177,,46
5,14,ENGL-120 - College English II: Reading & Composition,,true,,177,,47
5,15,ENGL-130 - English Phonetics and Pronunciation,,true,,177,,48
5,16,ENGL-140 - Speaking and Listening Development,,true,,177,,49
5,17,ENGL-200 - Basic Research and Academic Writing,,true,,177,,50
5,18,ENGL-200A - English for Effective Communication,,true,,177,,51
5,19,ENGL-201A - Writing Development,,true,,177,,52
5,20,ENGL-210 - Fundamentals of Communication,,true,,177,,53
5,21,ENGL-301 - Advanced English: Grammar & Composition,,true,,177,,54
5,22,ENGL-302A - Advanced Writing,,true,,177,,55
5,23,ENGL-303 - English Syntax,,true,,177,,56
5,24,ENGL-306 - Introduction to Literature,,true,,177,,57
5,25,ENGL-401A - English for Proficiency Testing,,true,,177,,59
5,26,ENGL-403 - Advanced Conversation,,true,,177,,60
5,27,"ENGL-450 - Introduction to Translation: Khmer to English, English to Khmer",,true,,177,,61
5,28,HF-101 - Health Education I,,true,,177,,75
5,29,HIST-101 - World Civilization,,true,,177,,76
5,30,HIST-230 - History of Cambodia,,true,,177,,77
5,31,KHMR-210 - Introduction to Khmer Studies,,true,,177,,84
5,32,LIT-325 - Comparative Literature,,true,,177,,90
5,33,MATH-101 - College Algebra,,true,,177,,91
5,34,PHIL-110 - Logic & Critical Thinking,,true,,177,,100
5,35,PHIL-213 - Introduction to Buddhism & Eastern Philosophy,,true,,177,,102
5,36,PHIL-312 - Introduction to Ethics,,true,,177,,103
5,37,POL-101 - Introduction to Political Science,,true,,177,,104
5,38,POL-201A - ASEAN Government, Politics and Economics,,true,,177,,106
5,39,PSYC-102 - Personal Growth and Development,,true,,177,,113
5,40,PSYC-313 - Education and Character Building,,true,,177,,114
5,41,SOC-110 - Gender Studies,,true,,177,,115
5,42,STAT-105 - Introduction to Statistics,,true,,177,,117
6,1,ANTH-102 - Cultural Anthropology,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,15
6,2,ARIL-210 - Academic Research: Information Literacy,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,16
